\\FusionPrimeEnd\\;ID_96;FusionPrimeEnd;;2018-11-21 14:02:02.025573;2018-11-21 14:02:02.025576;2018-11-21 14:02:02.025578;TEST_OSIRIS;None
\\Strand\\;ID_97;Strand;;2018-11-21 14:02:02.025644;2018-11-21 14:02:02.025647;2018-11-21 14:02:02.025650;TEST_OSIRIS;None
\\Symbol\\;ID_98;Symbol;;2018-11-21 14:02:02.025715;2018-11-21 14:02:02.025718;2018-11-21 14:02:02.025721;TEST_OSIRIS;None
\\AlterationOnSample\\;ID_99;AlterationOnSample;;2018-11-21 14:02:02.025787;2018-11-21 14:02:02.025790;2018-11-21 14:02:02.025792;TEST_OSIRIS;None
\\AlterationOnSample\\Pathogenicity\\;ID_100;Pathogenicity;;2018-11-21 14:02:02.025822;2018-11-21 14:02:02.025825;2018-11-21 14:02:02.025828;TEST_OSIRIS;None
\\AlterationOnSample\\Actionability\\;ID_101;Actionability;;2018-11-21 14:02:02.025880;2018-11-21 14:02:02.025884;2018-11-21 14:02:02.025886;TEST_OSIRIS;None
\\AlterationOnSample\\ProposedForOrientation\\;ID_102;ProposedForOrientation;;2018-11-21 14:02:02.025938;2018-11-21 14:02:02.025941;2018-11-21 14:02:02.025944;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\;ID_103;Variant;;2018-11-21 14:02:02.025994;2018-11-21 14:02:02.025997;2018-11-21 14:02:02.026000;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\Alteration\\;ID_104;Alteration;;2018-11-21 14:02:02.026040;2018-11-21 14:02:02.026043;2018-11-21 14:02:02.026046;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\Alteration\\Chromosome\\;ID_105;Chromosome;;2018-11-21 14:02:02.026086;2018-11-21 14:02:02.026089;2018-11-21 14:02:02.026092;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\Alteration\\GenomicStart\\;ID_106;GenomicStart;;2018-11-21 14:02:02.026143;2018-11-21 14:02:02.026146;2018-11-21 14:02:02.026148;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\Alteration\\GenomicStop\\;ID_107;GenomicStop;;2018-11-21 14:02:02.026203;2018-11-21 14:02:02.026206;2018-11-21 14:02:02.026209;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\Alteration\\GenomeBuild\\;ID_108;GenomeBuild;;2018-11-21 14:02:02.026259;2018-11-21 14:02:02.026262;2018-11-21 14:02:02.026265;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\Alteration\\Cytoband\\;ID_109;Cytoband;;2018-11-21 14:02:02.026315;2018-11-21 14:02:02.026318;2018-11-21 14:02:02.026320;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\ReferenceAllele\\;ID_110;ReferenceAllele;;2018-11-21 14:02:02.026381;2018-11-21 14:02:02.026384;2018-11-21 14:02:02.026386;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\AlternativeAllele\\;ID_111;AlternativeAllele;;2018-11-21 14:02:02.026437;2018-11-21 14:02:02.026440;2018-11-21 14:02:02.026442;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\DNASequenceVariationType\\;ID_112;DNASequenceVariationType;;2018-11-21 14:02:02.026493;2018-11-21 14:02:02.026497;2018-11-21 14:02:02.026499;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\VariantInSample\\;ID_113;VariantInSample;;2018-11-21 14:02:02.026553;2018-11-21 14:02:02.026557;2018-11-21 14:02:02.026559;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\VariantInSample\\PositionReadDepth\\;ID_114;PositionReadDepth;;2018-11-21 14:02:02.026600;2018-11-21 14:02:02.026603;2018-11-21 14:02:02.026605;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\VariantInSample\\VariantReadDepth\\;ID_115;VariantReadDepth;;2018-11-21 14:02:02.026655;2018-11-21 14:02:02.026659;2018-11-21 14:02:02.026661;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\VariantInSample\\StrandBias\\;ID_116;StrandBias;;2018-11-21 14:02:02.026712;2018-11-21 14:02:02.026715;2018-11-21 14:02:02.026717;TEST_OSIRIS;None
